SIS Login ID,Section,Quiz 1 (3436783),Quiz 2 (3434193),Quiz 3 (3436786),Quiz 4 (3434195),Quiz 5 (3436788),Quiz 6 (3436789),Quiz 7 (3434198),Quiz 8 (3434199),Quiz 9 (3434200),Quiz 10 (3436784),Exam 1 (3436778),Exam 2 (3436779),Exam 3 (3434204),Exam 4 (3434205),YOUR-CHOICE -- Greenhouse Inventory (3434380),YOUR-CHOICE -- Citation Manager (3434395),YOUR-CHOICE -- Critical Book Report(s) (3436794),YOUR-CHOICE -- Mauna Loa Observatory (3436798),YOUR-CHOICE -- Zoo Visit (3434349),YOUR-CHOICE -- Interviews (3436796),YOUR-CHOICE -- Introduction to R (3436797),YOUR-CHOICE -- Final (3580288),YOUR-CHOICE -- Midterm (3580262),Pre-Test (3434152),Post-Test (3608052),Assignments Current Points,Assignments Final Points,Assignments Current Score,Assignments Final Score,Quizzes Current Points,Quizzes Final Points,Quizzes Current Score,Quizzes Final Score,Exams Current Points,Exams Final Points,Exams Current Score,Exams Final Score,Your-Choice Current Points,Your-Choice Final Points,Your-Choice Current Score,Your-Choice Final Score,Pre- Post-Tests Current Points,Pre- Post-Tests Final Points,Pre- Post-Tests Current Score,Pre- Post-Tests Final Score,Current Points,Final Points,Current Score,Final Score
10807088,BIOL-1620-001,3,8,5,8,6,10,8,10,10,10,90,77,83,66,,,80,,10,30,30,100,50,50,46,0,0,,,78,78,78,78,316,316,79,79,150,150,150,150,96,96,96,96,640,640,91.43,91.43
10758978,BIOL-1620-001,8,10,4,10,8,10,4,10,10,10,98,82,91,74,10,10,90,10,10,,30,100,50,50,44,0,0,,,84,84,84,84,345,345,86.25,86.25,150,150,150,150,94,94,94,94,673,673,96.14,96.14
10739271,BIOL-1620-001,2,0,6,10,4,10,8,10,10,10,82,82,78,73,,10,110,10,,,30,100,50,50,42,0,0,,,70,70,70,70,315,315,78.75,78.75,150,150,150,150,92,92,92,92,627,627,89.57,89.57
10783608,BIOL-1620-001,4,10,9,10,6,10,8,10,10,10,94,86,80,82,,,90,,,,30,60,60,50,44,0,0,,,87,87,87,87,342,342,85.5,85.5,120,120,120,120,94,94,94,94,643,643,91.86,91.86
10668946,BIOL-1620-001,1,5,3,6,6,10,6,10,10,10,76,60,66,71,10,,50,10,10,20,30,80,50,50,36,0,0,,,67,67,67,67,273,273,68.25,68.25,130,130,130,130,86,86,86,86,556,556,79.43,79.43
10731913,BIOL-1620-001,0,3,2,5,4,10,4,10,10,0,63,57,60,63,,,90,,10,10,30,90,50,50,30,0,0,,,48,48,48,48,243,243,60.75,60.75,140,140,140,140,80,80,80,80,511,511,73,73
10019514,BIOL-1620-001,3,8,4,6,10,10,6,10,10,10,80,78,85,72,10,10,50,10,10,30,30,60,90,50,44,0,0,,,77,77,77,77,315,315,78.75,78.75,150,150,150,150,94,94,94,94,636,636,90.86,90.86
10799294,BIOL-1620-001,0,0,8,0,0,0,0,0,0,0,73,0,0,0,,,,,,,,0,0,50,0,0,0,,,8,8,8,8,73,73,18.25,18.25,0,0,0,0,50,50,50,50,131,131,18.71,18.71
10553691,BIOL-1620-001,0,2,2,6,6,10,6,10,10,10,70,63,68,62,10,10,50,10,10,30,30,100,50,50,42,0,0,,,62,62,62,62,263,263,65.75,65.75,150,150,150,150,92,92,92,92,567,567,81,81
10797380,BIOL-1620-001,5,7,8,8,6,10,6,10,10,10,78,75,81,58,10,10,60,10,10,20,30,100,50,50,38,0,0,,,80,80,80,80,292,292,73,73,150,150,150,150,88,88,88,88,610,610,87.14,87.14
10538443,BIOL-1620-001,1,4,7,6,6,10,8,10,10,10,57,67,57,52,10,10,80,10,10,,30,100,50,50,38,0,0,,,72,72,72,72,233,233,58.25,58.25,150,150,150,150,88,88,88,88,543,543,77.57,77.57
10573145,BIOL-1620-001,8,10,8,0,0,10,0,10,10,0,101,66,0,0,,10,,,,10,30,0,50,50,0,0,0,,,56,56,56,56,167,167,41.75,41.75,50,50,50,50,50,50,50,50,323,323,46.14,46.14
10718572,BIOL-1620-001,7,7,8,8,6,10,6,10,10,10,96,76,80,70,,,30,10,,30,30,50,50,50,42,0,0,,,82,82,82,82,322,322,80.5,80.5,100,100,100,100,92,92,92,92,596,596,85.14,85.14
10077651,BIOL-1620-001,2,5,4,9,4,10,8,10,10,10,56,58,73,64,,,110,,10,30,,100,50,50,34,0,0,,,72,72,72,72,251,251,62.75,62.75,150,150,150,150,84,84,84,84,557,557,79.57,79.57
10584652,BIOL-1620-001,4,4,8,6,4,10,6,10,10,10,83,84,83,83,10,,80,10,,20,30,90,60,50,42,0,0,,,72,72,72,72,333,333,83.25,83.25,150,150,150,150,92,92,92,92,647,647,92.43,92.43
10661751,BIOL-1620-001,0,4,8,2,6,10,2,10,10,10,55,57,53,53,10,,60,10,10,20,30,70,70,50,30,0,0,,,62,62,62,62,218,218,54.5,54.5,140,140,140,140,80,80,80,80,500,500,71.43,71.43
10660901,BIOL-1620-001,6,4,7,6,8,0,8,10,10,10,83,90,92,70,,,120,,,,30,90,60,50,46,0,0,,,69,69,69,69,335,335,83.75,83.75,150,150,150,150,96,96,96,96,650,650,92.86,92.86
10651497,BIOL-1620-001,6,10,10,10,10,10,10,10,10,10,83,82,83,80,,,90,10,10,,30,90,50,50,48,0,0,,,96,96,96,96,328,328,82,82,140,140,140,140,98,98,98,98,662,662,94.57,94.57
10794640,BIOL-1620-001,1,2,0,10,6,10,0,10,10,0,36,52,0,0,,,30,,,,,0,30,0,0,0,0,,,49,49,49,49,88,88,22,22,30,30,30,30,0,0,0,0,167,167,23.86,23.86
